type,alpha,beta,gamma,disease
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),VATASANCAYAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),VATAVRUDDHIH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),VATAPRAKOPAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),PRANAVATAKOPAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),UDANAVATAKOPAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),VYANAVATAKOPAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),SAMANAVATAKOPAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),APANAVATAKOPAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),VATAPRASARANAM
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,DOSHAVASTHA (VATA),VATAKSHAYAH
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ATIPRALAPAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ANAVASTHITACITTATVAM (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ANGAMARDAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ANGASUSHKATA (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ANGAVIBRAMSAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ARDITAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ARASAJNATA (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ASABDASRAVANAM (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ASVAPNAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,AKSHIBEDAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,AKSHIVYUDASAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,AKSHISULAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,ATOPAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,AKSHEPAKAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,UCCAIHSRUTIH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,UDARAVESHTAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,UDAVARTAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,URUSTAMBAH/ADHYAVATAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,URUSADAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,EKANGAROGAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,OSHTHABEDAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,KANTHODHVAMSAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,KARNASULAH (KEVALAVATA)
VIKARAH,DOSHAVAISHAMYAM,VATAVYADHIH,NANATMAJAVATAVIKARAH,KAMPAH/VEPATHUH (KEVALAVATA)
