medicines,Disease,symptoms
Doshavaishamyam,VATASANCAYAH,"impariment of movements of vāta in the kōṣṭha/stagnated bowel movements/paralytic ileus, fullness of abdomen"
Doshavaishamyam,VATAVRUDDHIH,"roughness of voice/hoarseness of voice, emaciation, blackish discoloration of body, flickering/twitching in various parts of body, desire for heat/warmth, insomnia, insufficient /decreased physical strength, thick/compact stool, trembling/tremors of body parts, barborygmus with distention, obstruction/retension of faeces, diminution of physical strength, impairment of sense organs, excess talking/irrelevant speech/incoherent speech, giddiness or dizziness, timid or apathy, pain in the bones, decrease in or dryness of majja (bone marrow), obstruction to passage of feces, abdominal distension, gurgling sound of the intestines/barborygmus, loss of conciousness, confusion/delirium, fear, grief"
Doshavaishamyam,VATAPRAKOPAH,"exhaustion/fatigue, dislocation/prolapse, expansion/dilatation, obstruction/adherence, breaking type of pain, exhaustion or tirednes of body, horripilation/bristling, dryness of mouth/thirst, tremors/trembling/shaking, movement of vāta in opposite direction/circular movement of vāta, pulsation (chakrapani), pricking pain, uneasiness/agitation/feeling of discomfort, abnormal movements, roughness, roughness in body, conspicuousness /clear/perceivable, porousness/hollowness, slight reddish complexion of the body, astringent taste in mouth, tastelessness/upleasant taste in mouth, dryness/wasting/emaciation, sharp type of pain, numbness/drowsiness, contraction of body parts, stiffness /rigidity, limping"
Doshavaishamyam,PRANAVATAKOPAH,"hiccup, breathlessness/difficult breathing, impairment of sense organs viz. eye, cold, catarrh, facial paralysis, thirst, cough"
Doshavaishamyam,UDANAVATAKOPAH,"choking of throat/stopping or lowering voice, mental disturbance, vomiting, tastelessness, cold, catarrh, glandular swelling in jaw, neck and throat region /goitre, diseases of body above collar bone/diseases of head and neck"
Doshavaishamyam,VYANAVATAKOPAH,"decrease in virility/semen, decrease/lack of enthusiasm/energy, diminution of physical strength, oedema, excitement, fever, quadriplegia, pricking type of pain, horripilation, numbness of body parts, skin disease, spreading cellulitis/erysipelas, diseases affecting whole body"
Doshavaishamyam,SAMANAVATAKOPAH,"palpable glandular enlargment in abdomen/abdominal lump, diminution of agni (digestive power), diarrhoea, colicky pain in the abdomen, derangement of agni situated in grahaṇī, diseases of/having origin in pakvāśaya, diseases of/having origin in āmāśaya"
Doshavaishamyam,APANAVATAKOPAH,"diseases of pakvāśaya, disorders of mūtra/urinary system, disorders of semen, haemorrhoids, rectal prolapse"
Doshavaishamyam,VATAPRASARANAM,"abnormal movements of vāyu, gurgling sound of the intestines/barborygmus"
Doshavaishamyam,VATAKSHAYAH,"sluggishness in body activities, reduced talking, displeasure/discontent, loss of consciousness, exhaustion or tirednes to body /inability to perform physical activities, reduced activities, loss of investigating intelligence/loss of conciousness, diseases due to increased kapha, excessive salivation, tastelessness, nausea /palpitation of heart, impairment of agni (digestive power)"
